year,County_of_Residence,Source_of_Payment,Births
2017-01-01,"Chautauqua County, NY",Self Pay,44
2017-01-01,"Dutchess County, NY",Self Pay,12
2017-01-01,"Erie County, NY",Self Pay,99
2017-01-01,"Jefferson County, NY",Self Pay,25
2017-01-01,"Monroe County, NY",Self Pay,101
2017-01-01,"Niagara County, NY",Self Pay,23
2017-01-01,"Oneida County, NY",Self Pay,30
2017-01-01,"Rensselaer County, NY",Self Pay,12
2017-01-01,"Richmond County, NY",Self Pay,64
2017-01-01,"Suffolk County, NY",Self Pay,150
2017-01-01,"Tompkins County, NY",Self Pay,11
2017-01-01,"Westchester County, NY",Self Pay,36
2017-01-01,"Unidentified Counties, NY",Self Pay,840
2017-01-01,"Brunswick County, NC",Self Pay,34
2017-01-01,"Buncombe County, NC",Self Pay,80
2017-01-01,"Craven County, NC",Self Pay,46
2017-01-01,"Harnett County, NC",Self Pay,98
2017-01-01,"Johnston County, NC",Self Pay,56
2017-01-01,"Unidentified Counties, ND",Self Pay,215
2017-01-01,"Clark County, OH",Self Pay,38
2017-01-01,"Fairfield County, OH",Self Pay,37
2017-01-01,"Greene County, OH",Self Pay,25
2017-01-01,"Lake County, OH",Self Pay,49
2017-01-01,"Licking County, OH",Self Pay,79
2017-01-01,"Mahoning County, OH",Self Pay,53
2017-01-01,"Medina County, OH",Self Pay,69
2017-01-01,"Miami County, OH",Self Pay,29
2017-01-01,"Portage County, OH",Self Pay,30
2017-01-01,"Warren County, OH",Self Pay,82
2017-01-01,"Wayne County, OH",Self Pay,417
2017-01-01,"Unidentified Counties, OH",Self Pay,2588
2017-01-01,"Cleveland County, OK",Self Pay,63
2017-01-01,"Comanche County, OK",Self Pay,14
2017-01-01,"Clackamas County, OR",Self Pay,81
2017-01-01,"Deschutes County, OR",Self Pay,65
2017-01-01,"Jackson County, OR",Self Pay,54
2017-01-01,"Lane County, OR",Self Pay,67
2017-01-01,"Multnomah County, OR",Self Pay,135
2017-01-01,"Washington County, OR",Self Pay,113
2017-01-01,"Unidentified Counties, OR",Self Pay,218
2017-01-01,"Adams County, PA",Self Pay,49
2017-01-01,"Allegheny County, PA",Self Pay,45
2017-01-01,"Berks County, PA",Self Pay,205
2017-01-01,"Blair County, PA",Self Pay,48
2017-01-01,"Centre County, PA",Self Pay,120
2017-01-01,"Chester County, PA",Self Pay,271
2017-01-01,"Cumberland County, PA",Self Pay,171
2017-01-01,"Dauphin County, PA",Self Pay,97
2017-01-01,"Fayette County, PA",Self Pay,14
2017-01-01,"Franklin County, PA",Self Pay,223
2017-01-01,"Lackawanna County, PA",Self Pay,20
2017-01-01,"Lancaster County, PA",Self Pay,1773
2017-01-01,"Lycoming County, PA",Self Pay,51
2017-01-01,"Mercer County, PA",Self Pay,89
2017-01-01,"Montgomery County, PA",Self Pay,78
2017-01-01,"Schuylkill County, PA",Self Pay,36
2017-01-01,"Washington County, PA",Self Pay,19
2017-01-01,"Westmoreland County, PA",Self Pay,15
2017-01-01,"York County, PA",Self Pay,139
2017-01-01,"Unidentified Counties, PA",Self Pay,1527
2017-01-01,"Providence County, RI",Self Pay,57
2017-01-01,"Dorchester County, SC",Self Pay,29
2017-01-01,"Florence County, SC",Self Pay,15
2017-01-01,"Greenville County, SC",Self Pay,209
2017-01-01,"Horry County, SC",Self Pay,111
2017-01-01,"Pickens County, SC",Self Pay,28
2017-01-01,"Davidson County, TN",Self Pay,176
2017-01-01,"Montgomery County, TN",Self Pay,49
2017-01-01,"Rutherford County, TN",Self Pay,48
2017-01-01,"Shelby County, TN",Self Pay,318
2017-01-01,"Washington County, TN",Self Pay,18
2017-01-01,"Williamson County, TN",Self Pay,45
2017-01-01,"Brazos County, TX",Self Pay,76
2017-01-01,"Comal County, TX",Self Pay,115
2017-01-01,"Grayson County, TX",Self Pay,56
2017-01-01,"Hays County, TX",Self Pay,88
2017-01-01,"Hidalgo County, TX",Self Pay,987
2017-01-01,"McLennan County, TX",Self Pay,124
2017-01-01,"Parker County, TX",Self Pay,96
2017-01-01,"Potter County, TX",Self Pay,30
2017-01-01,"Tom Green County, TX",Self Pay,46
2017-01-01,"Webb County, TX",Self Pay,497
2017-01-01,"Wichita County, TX",Self Pay,86
2017-01-01,"Davis County, UT",Self Pay,219
2017-01-01,"Salt Lake County, UT",Self Pay,855
2017-01-01,"Utah County, UT",Self Pay,584
2017-01-01,"Washington County, UT",Self Pay,188
2017-01-01,"Unidentified Counties, UT",Self Pay,375
2017-01-01,"Chittenden County, VT",Self Pay,10
2017-01-01,"Unidentified Counties, VT",Self Pay,81
2017-01-01,"Chesapeake city, VA",Self Pay,91
2017-01-01,"Hampton city, VA",Self Pay,56
2017-01-01,"Norfolk city, VA",Self Pay,200
2017-01-01,"Benton County, WA",Self Pay,51
2017-01-01,"Clark County, WA",Self Pay,52
2017-01-01,"Kitsap County, WA",Self Pay,36
2017-01-01,"Pierce County, WA",Self Pay,80
2017-01-01,"Skagit County, WA",Self Pay,10
2017-01-01,"Snohomish County, WA",Self Pay,120
2017-01-01,"Spokane County, WA",Self Pay,100
2017-01-01,"Thurston County, WA",Self Pay,21
2017-01-01,"Whatcom County, WA",Self Pay,29
2017-01-01,"Unidentified Counties, WA",Self Pay,172
2017-01-01,"Berkeley County, WV",Self Pay,45
2017-01-01,"Kanawha County, WV",Self Pay,37
2017-01-01,"Dane County, WI",Self Pay,64
2017-01-01,"Kenosha County, WI",Self Pay,31
2017-01-01,"La Crosse County, WI",Self Pay,14
2017-01-01,"Marathon County, WI",Self Pay,72
2017-01-01,"Outagamie County, WI",Self Pay,42
2017-01-01,"Sheboygan County, WI",Self Pay,16
2017-01-01,"Walworth County, WI",Self Pay,13
2017-01-01,"Washington County, WI",Self Pay,22
2017-01-01,"Waukesha County, WI",Self Pay,40
2017-01-01,"Winnebago County, WI",Self Pay,36
2017-01-01,"Unidentified Counties, WI",Self Pay,1283
2017-01-01,"Cochise County, AZ",Other,126
2017-01-01,"Navajo County, AZ",Other,59
2017-01-01,"Faulkner County, AR",Other,10
2017-01-01,"Unidentified Counties, AR",Other,801
2017-01-01,"Butte County, CA",Other,11
2017-01-01,"El Dorado County, CA",Other,16
2017-01-01,"Humboldt County, CA",Other,298
2017-01-01,"Marin County, CA",Other,18
2017-01-01,"San Joaquin County, CA",Other,130
2017-01-01,"San Luis Obispo County, CA",Other,62
2017-01-01,"San Mateo County, CA",Other,13
2017-01-01,"Santa Cruz County, CA",Other,17
2017-01-01,"Shasta County, CA",Other,17
2017-01-01,"Sonoma County, CA",Other,15
2017-01-01,"Yolo County, CA",Other,14
2017-01-01,"Boulder County, CO",Other,17
2017-01-01,"Douglas County, CO",Other,67
2017-01-01,"Larimer County, CO",Other,28
2017-01-01,"Mesa County, CO",Other,15
2017-01-01,"Pueblo County, CO",Other,39
2017-01-01,"Broward County, FL",Other,253
2017-01-01,"Hernando County, FL",Other,14
2017-01-01,"Lake County, FL",Other,31
2017-01-01,"Leon County, FL",Other,10
2017-01-01,"Manatee County, FL",Other,18
2017-01-01,"Pasco County, FL",Other,28
2017-01-01,"Sarasota County, FL",Other,10
2017-01-01,"Volusia County, FL",Other,41
2017-01-01,"Bibb County, GA",Other,102
2017-01-01,"Carroll County, GA",Other,161
2017-01-01,"Hawaii County, HI",Other,50
2017-01-01,"Unidentified Counties, HI",Other,23
2017-01-01,"Bonneville County, ID",Other,13
2017-01-01,"DuPage County, IL",Other,30
2017-01-01,"Kane County, IL",Other,46
2017-01-01,"Macon County, IL",Other,32
2017-01-01,"Sangamon County, IL",Other,59
2017-01-01,"Unidentified Counties, IL",Other,173
2017-01-01,"Lake County, IN",Other,48
2017-01-01,"Madison County, IN",Other,70
2017-01-01,"Marion County, IN",Other,399
2017-01-01,"Monroe County, IN",Other,128
2017-01-01,"Black Hawk County, IA",Other,12
2017-01-01,"Johnson County, IA",Other,30
2017-01-01,"Shawnee County, KS",Other,56
2017-01-01,"Hardin County, KY",Other,77
2017-01-01,"Kenton County, KY",Other,24
2017-01-01,"Warren County, KY",Other,24
2017-01-01,"Caddo Parish, LA",Other,93
2017-01-01,"Calcasieu Parish, LA",Other,29
2017-01-01,"Androscoggin County, ME",Other,13
2017-01-01,"Cumberland County, ME",Other,46
2017-01-01,"Baltimore County, MD",Other,112
2017-01-01,"Charles County, MD",Other,86
2017-01-01,"Baltimore city, MD",Other,89
2017-01-01,"Barnstable County, MA",Other,243
2017-01-01,"Berkshire County, MA",Other,232
2017-01-01,"Hampden County, MA",Other,415
2017-01-01,"Hampshire County, MA",Other,22
2017-01-01,"Calhoun County, MI",Other,26
2017-01-01,"Jackson County, MI",Other,10
2017-01-01,"Kalamazoo County, MI",Other,12
2017-01-01,"Kent County, MI",Other,10
2017-01-01,"Oakland County, MI",Other,20
2017-01-01,"Washtenaw County, MI",Other,10
2017-01-01,"DeSoto County, MS",Other,32
2017-01-01,"Unidentified Counties, MS",Other,81
2017-01-01,"Jasper County, MO",Other,16
2017-01-01,"Jefferson County, MO",Other,20
2017-01-01,"St. Louis County, MO",Other,86
2017-01-01,"Unidentified Counties, NE",Other,132
2017-01-01,"Camden County, NJ",Other,29
2017-01-01,"Middlesex County, NJ",Other,41
2017-01-01,"Monmouth County, NJ",Other,22
2017-01-01,"Ocean County, NJ",Other,54
2017-01-01,"Warren County, NJ",Other,18
2017-01-01,"Dona Ana County, NM",Other,405
2017-01-01,"San Juan County, NM",Other,49
2017-01-01,"Ontario County, NY",Other,22
2017-01-01,"Oswego County, NY",Other,50
2017-01-01,"Rensselaer County, NY",Other,56
2017-01-01,"Rockland County, NY",Other,123
2017-01-01,"Schenectady County, NY",Other,50
2017-01-01,"Westchester County, NY",Other,684
2017-01-01,"Guilford County, NC",Other,35
2017-01-01,"Iredell County, NC",Other,10
2017-01-01,"Johnston County, NC",Other,29
2017-01-01,"Mecklenburg County, NC",Other,119
2017-01-01,"Randolph County, NC",Other,17
2017-01-01,"Robeson County, NC",Other,21
2017-01-01,"Allen County, OH",Other,22
2017-01-01,"Delaware County, OH",Other,27
2017-01-01,"Lucas County, OH",Other,38
2017-01-01,"Medina County, OH",Other,34
2017-01-01,"Miami County, OH",Other,29
2017-01-01,"Wood County, OH",Other,25
2017-01-01,"Linn County, OR",Other,18
2017-01-01,"Washington County, OR",Other,60
2017-01-01,"Erie County, PA",Other,391
2017-01-01,"Fayette County, PA",Other,21
2017-01-01,"Lackawanna County, PA",Other,24
2017-01-01,"Lancaster County, PA",Other,42
2017-01-01,"Luzerne County, PA",Other,34
2017-01-01,"Mercer County, PA",Other,36
2017-01-01,"Monroe County, PA",Other,50
2017-01-01,"Washington County, PA",Other,27
2017-01-01,"Providence County, RI",Other,38
2017-01-01,"Washington County, RI",Other,13
2017-01-01,"Unidentified Counties, RI",Other,110
2017-01-01,"Aiken County, SC",Other,99
2017-01-01,"Washington County, TN",Other,14
2017-01-01,"Williamson County, TN",Other,19
2017-01-01,"Cameron County, TX",Other,1444
2017-01-01,"Dallas County, TX",Other,465
2017-01-01,"Galveston County, TX",Other,25
2017-01-01,"Grayson County, TX",Other,47
2017-01-01,"Harris County, TX",Other,6094
2017-01-01,"Montgomery County, TX",Other,98
2017-01-01,"Smith County, TX",Other,53
2017-01-01,"Taylor County, TX",Other,15
2017-01-01,"Unidentified Counties, TX",Other,2386
2017-01-01,"Unidentified Counties, VT",Other,155
2017-01-01,"Loudoun County, VA",Other,48
2017-01-01,"Prince William County, VA",Other,72
2017-01-01,"Stafford County, VA",Other,23
2017-01-01,"Clark County, WA",Other,95
2017-01-01,"Cowlitz County, WA",Other,31
2017-01-01,"King County, WA",Other,311
2017-01-01,"Skagit County, WA",Other,63
2017-01-01,"Kanawha County, WV",Other,19
2017-01-01,"Brown County, WI",Other,44
2017-01-01,"Fond du Lac County, WI",Other,20
2017-01-01,"La Crosse County, WI",Other,14
2017-01-01,"Washington County, WI",Other,54
2017-01-01,"Winnebago County, WI",Other,19
2017-01-01,"Pima County, AZ",Unknown or Not Stated,11
2017-01-01,"Benton County, AR",Unknown or Not Stated,42
2017-01-01,"Washington County, AR",Unknown or Not Stated,120
2017-01-01,"Unidentified Counties, AR",Unknown or Not Stated,174
2017-01-01,"Contra Costa County, CA",Unknown or Not Stated,13
2017-01-01,"Fresno County, CA",Unknown or Not Stated,23
2017-01-01,"Los Angeles County, CA",Unknown or Not Stated,204
2017-01-01,"Riverside County, CA",Unknown or Not Stated,24
2017-01-01,"Sacramento County, CA",Unknown or Not Stated,57
2017-01-01,"San Bernardino County, CA",Unknown or Not Stated,25
2017-01-01,"San Diego County, CA",Unknown or Not Stated,12
2017-01-01,"San Luis Obispo County, CA",Unknown or Not Stated,16
2017-01-01,"Ventura County, CA",Unknown or Not Stated,21
2017-01-01,"Adams County, CO",Unknown or Not Stated,51
2017-01-01,"Denver County, CO",Unknown or Not Stated,21
2017-01-01,"Jefferson County, CO",Unknown or Not Stated,15
2017-01-01,"Weld County, CO",Unknown or Not Stated,10
2017-01-01,"District of Columbia, DC",Unknown or Not Stated,20
2017-01-01,"Alachua County, FL",Unknown or Not Stated,20
2017-01-01,"Bay County, FL",Unknown or Not Stated,16
2017-01-01,"Brevard County, FL",Unknown or Not Stated,16
2017-01-01,"Broward County, FL",Unknown or Not Stated,25
2017-01-01,"Duval County, FL",Unknown or Not Stated,14
2017-01-01,"Manatee County, FL",Unknown or Not Stated,78
2017-01-01,"Miami-Dade County, FL",Unknown or Not Stated,47
2017-01-01,"Orange County, FL",Unknown or Not Stated,34
2017-01-01,"Osceola County, FL",Unknown or Not Stated,11
2017-01-01,"Pinellas County, FL",Unknown or Not Stated,24
2017-01-01,"Polk County, FL",Unknown or Not Stated,19
2017-01-01,"Seminole County, FL",Unknown or Not Stated,13
2017-01-01,"Cherokee County, GA",Unknown or Not Stated,12
2017-01-01,"Cobb County, GA",Unknown or Not Stated,36
2017-01-01,"Gwinnett County, GA",Unknown or Not Stated,22
2017-01-01,"Unidentified Counties, ID",Unknown or Not Stated,13
2017-01-01,"Cook County, IL",Unknown or Not Stated,414
2017-01-01,"Lake County, IL",Unknown or Not Stated,36
2017-01-01,"Madison County, IL",Unknown or Not Stated,13
2017-01-01,"Will County, IL",Unknown or Not Stated,21
2017-01-01,"Unidentified Counties, IL",Unknown or Not Stated,82
2017-01-01,"Johnson County, KS",Unknown or Not Stated,12
2017-01-01,"Unidentified Counties, ME",Unknown or Not Stated,24
2017-01-01,"Anne Arundel County, MD",Unknown or Not Stated,26
2017-01-01,"Charles County, MD",Unknown or Not Stated,13
2017-01-01,"Montgomery County, MD",Unknown or Not Stated,36
2017-01-01,"Prince George's County, MD",Unknown or Not Stated,85
2017-01-01,"St. Mary's County, MD",Unknown or Not Stated,30
2017-01-01,"Washington County, MD",Unknown or Not Stated,10
2017-01-01,"Baltimore city, MD",Unknown or Not Stated,47
2017-01-01,"Middlesex County, MA",Unknown or Not Stated,19
2017-01-01,"Norfolk County, MA",Unknown or Not Stated,11
2017-01-01,"Worcester County, MA",Unknown or Not Stated,23
2017-01-01,"Eaton County, MI",Unknown or Not Stated,12
2017-01-01,"Genesee County, MI",Unknown or Not Stated,26
2017-01-01,"Wayne County, MI",Unknown or Not Stated,72
2017-01-01,"Unidentified Counties, MI",Unknown or Not Stated,123
2017-01-01,"Hennepin County, MN",Unknown or Not Stated,47
2017-01-01,"DeSoto County, MS",Unknown or Not Stated,21
2017-01-01,"Unidentified Counties, MS",Unknown or Not Stated,23
2017-01-01,"Clay County, MO",Unknown or Not Stated,18
2017-01-01,"Franklin County, MO",Unknown or Not Stated,18
2017-01-01,"Greene County, MO",Unknown or Not Stated,20
2017-01-01,"Unidentified Counties, MO",Unknown or Not Stated,253
2017-01-01,"Lancaster County, NE",Unknown or Not Stated,22
2017-01-01,"Sarpy County, NE",Unknown or Not Stated,21
2017-01-01,"Merrimack County, NH",Unknown or Not Stated,18
2017-01-01,"Unidentified Counties, NH",Unknown or Not Stated,51
2017-01-01,"Unidentified Counties, NM",Unknown or Not Stated,19
2017-01-01,"Bronx County, NY",Unknown or Not Stated,65
2017-01-01,"Chautauqua County, NY",Unknown or Not Stated,37
2017-01-01,"Erie County, NY",Unknown or Not Stated,46
2017-01-01,"Jefferson County, NY",Unknown or Not Stated,10
2017-01-01,"Kings County, NY",Unknown or Not Stated,192
2017-01-01,"Nassau County, NY",Unknown or Not Stated,13
2017-01-01,"New York County, NY",Unknown or Not Stated,60
2017-01-01,"Rockland County, NY",Unknown or Not Stated,21
2017-01-01,"St. Lawrence County, NY",Unknown or Not Stated,54
2017-01-01,"Unidentified Counties, NY",Unknown or Not Stated,182
2017-01-01,"Mecklenburg County, NC",Unknown or Not Stated,59
2017-01-01,"Unidentified Counties, NC",Unknown or Not Stated,31
2017-01-01,"Unidentified Counties, ND",Unknown or Not Stated,93
2017-01-01,"Clark County, OH",Unknown or Not Stated,23
2017-01-01,"Hamilton County, OH",Unknown or Not Stated,18
2017-01-01,"Lake County, OH",Unknown or Not Stated,19
2017-01-01,"Lucas County, OH",Unknown or Not Stated,20
2017-01-01,"Richland County, OH",Unknown or Not Stated,16
2017-01-01,"Summit County, OH",Unknown or Not Stated,14
2017-01-01,"Warren County, OH",Unknown or Not Stated,21
2017-01-01,"Oklahoma County, OK",Unknown or Not Stated,49
2017-01-01,"Unidentified Counties, OK",Unknown or Not Stated,38
2017-01-01,"Lane County, OR",Unknown or Not Stated,47
2017-01-01,"Multnomah County, OR",Unknown or Not Stated,11
2017-01-01,"Unidentified Counties, OR",Unknown or Not Stated,36
2017-01-01,"Adams County, PA",Unknown or Not Stated,14
2017-01-01,"Allegheny County, PA",Unknown or Not Stated,395
2017-01-01,"Berks County, PA",Unknown or Not Stated,22
2017-01-01,"Chester County, PA",Unknown or Not Stated,37
2017-01-01,"Dauphin County, PA",Unknown or Not Stated,35
2017-01-01,"Delaware County, PA",Unknown or Not Stated,60
2017-01-01,"Lancaster County, PA",Unknown or Not Stated,35
2017-01-01,"Northampton County, PA",Unknown or Not Stated,11
2017-01-01,"Philadelphia County, PA",Unknown or Not Stated,615
2017-01-01,"Aiken County, SC",Unknown or Not Stated,11
2017-01-01,"Berkeley County, SC",Unknown or Not Stated,10
2017-01-01,"Greenville County, SC",Unknown or Not Stated,21
2017-01-01,"Unidentified Counties, SD",Unknown or Not Stated,42
2017-01-01,"Hamilton County, TN",Unknown or Not Stated,30
2017-01-01,"Shelby County, TN",Unknown or Not Stated,265
2017-01-01,"Sumner County, TN",Unknown or Not Stated,141
2017-01-01,"Washington County, TN",Unknown or Not Stated,34
2017-01-01,"Dallas County, TX",Unknown or Not Stated,78
2017-01-01,"Harris County, TX",Unknown or Not Stated,121
2017-01-01,"Hidalgo County, TX",Unknown or Not Stated,32
2017-01-01,"Tarrant County, TX",Unknown or Not Stated,19
2017-01-01,"Unidentified Counties, TX",Unknown or Not Stated,118
2017-01-01,"Davis County, UT",Unknown or Not Stated,104
2017-01-01,"Salt Lake County, UT",Unknown or Not Stated,667
2017-01-01,"Utah County, UT",Unknown or Not Stated,424
2017-01-01,"Weber County, UT",Unknown or Not Stated,77
2017-01-01,"Unidentified Counties, VT",Unknown or Not Stated,11
2017-01-01,"Fairfax County, VA",Unknown or Not Stated,25
2017-01-01,"Prince William County, VA",Unknown or Not Stated,19
2017-01-01,"Alexandria city, VA",Unknown or Not Stated,12
2017-01-01,"King County, WA",Unknown or Not Stated,263
2017-01-01,"Unidentified Counties, WV",Unknown or Not Stated,108
2017-01-01,"Dane County, WI",Unknown or Not Stated,11
2017-01-01,"Milwaukee County, WI",Unknown or Not Stated,72
2017-01-01,"Sebastian County, AR",Medicaid,820
2017-01-01,"Jefferson Parish, LA",Medicaid,3877
2017-01-01,"St. Charles County, MO",Medicaid,651
2017-01-01,"Pitt County, NC",Medicaid,1109
2017-01-01,"Wayne County, NC",Medicaid,822
2017-01-01,"Williamson County, TX",Medicaid,1769
2017-01-01,"Mobile County, AL",Private Insurance,2131
2017-01-01,"Unidentified Counties, AL",Private Insurance,9122
2017-01-01,"Sangamon County, IL",Private Insurance,1309
2017-01-01,"Madison County, IN",Private Insurance,556
2017-01-01,"Unidentified Counties, LA",Private Insurance,5557
2017-01-01,"Charles County, MD",Private Insurance,1099
2017-01-01,"Bexar County, TX",Private Insurance,9888
2017-01-01,"Harris County, TX",Private Insurance,24547
2017-01-01,"Escambia County, FL",Self Pay,130
2017-01-01,"Caddo Parish, LA",Self Pay,48
2017-01-01,"Ouachita Parish, LA",Self Pay,12
2017-01-01,"Atlantic County, NJ",Self Pay,44
2017-01-01,"Burlington County, NJ",Self Pay,137
2017-01-01,"Tuscaloosa County, AL",Other,12
2017-01-01,"Hartford County, CT",Other,93
2017-01-01,"Clay County, FL",Other,229
2017-01-01,"Boone County, KY",Other,20
2017-01-01,"Spartanburg County, SC",Other,77
2017-01-01,"Jefferson County, MO",Unknown or Not Stated,111
2017-01-01,"Collin County, TX",Unknown or Not Stated,67
2017-01-01,"Washington County, UT",Unknown or Not Stated,112
2017-01-01,"Contra Costa County, CA",Medicaid,2330
2017-01-01,"Unidentified Counties, ID",Medicaid,3957
2017-01-01,"Madison County, IN",Medicaid,730
2017-01-01,"San Juan County, NM",Medicaid,1001
2017-01-01,"New York County, NY",Medicaid,5588
2017-01-01,"Brunswick County, NC",Medicaid,494
2017-01-01,"Jackson County, OR",Medicaid,1228
2017-01-01,"Lycoming County, PA",Medicaid,462
2017-01-01,"Unidentified Counties, PA",Medicaid,5404
2017-01-01,"Dane County, WI",Medicaid,1391
2017-01-01,"Unidentified Counties, WY",Medicaid,2197
2017-01-01,"Osceola County, FL",Private Insurance,1462
2017-01-01,"Scott County, IA",Private Insurance,1175
2017-01-01,"Douglas County, KS",Private Insurance,710
2017-01-01,"St. Louis city, MO",Private Insurance,1671
2017-01-01,"Essex County, NJ",Private Insurance,4622
2017-01-01,"Greenville County, SC",Private Insurance,3852
2017-01-01,"Hartford County, CT",Self Pay,215
2017-01-01,"Lake County, IL",Self Pay,76
2017-01-01,"Allegan County, MI",Self Pay,32
2017-01-01,"Franklin County, MO",Self Pay,18
2017-01-01,"Washoe County, NV",Self Pay,244
2017-01-01,"Somerset County, NJ",Self Pay,290
2017-01-01,"Saratoga County, NY",Self Pay,12
2017-01-01,"Racine County, WI",Self Pay,34
2017-01-01,"Calhoun County, AL",Other,26
2017-01-01,"Montgomery County, AL",Other,148
2017-01-01,"Chatham County, GA",Other,470
2017-01-01,"Columbia County, GA",Other,432
2017-01-01,"Coweta County, GA",Other,70
2017-01-01,"Lowndes County, GA",Other,299
2017-01-01,"Fayette County, KY",Other,232
2017-01-01,"Cumberland County, NJ",Other,10
2017-01-01,"Alamance County, NC",Other,22
2017-01-01,"Tulsa County, OK",Other,185
2017-01-01,"Brazoria County, TX",Other,58
2017-01-01,"McLennan County, TX",Other,30
2017-01-01,"Cache County, UT",Other,86
2017-01-01,"Rockingham County, NH",Unknown or Not Stated,11
2017-01-01,"Oswego County, NY",Unknown or Not Stated,14
2017-01-01,"Greene County, OH",Unknown or Not Stated,34
2017-01-01,"Unidentified Counties, NJ",Medicaid,635
2017-01-01,"Martin County, FL",Private Insurance,538
2017-01-01,"Essex County, MA",Private Insurance,5221
2017-01-01,"Norfolk County, MA",Private Insurance,5857
2017-01-01,"Kalamazoo County, MI",Private Insurance,1745
2017-01-01,"Anoka County, MN",Private Insurance,3020
2017-01-01,"Hennepin County, MN",Private Insurance,10701
2017-01-01,"Monroe County, NY",Private Insurance,4023
2017-01-01,"Snohomish County, WA",Private Insurance,6159
2017-01-01,"Riverside County, CA",Self Pay,1075
2017-01-01,"Sussex County, DE",Self Pay,56
2017-01-01,"Unidentified Counties, MO",Self Pay,1562
2017-01-01,"Sandoval County, NM",Self Pay,36
2017-01-01,"Clermont County, OH",Self Pay,69
2017-01-01,"Delaware County, OH",Self Pay,61
2017-01-01,"Stark County, OH",Self Pay,178
2017-01-01,"Brazoria County, TX",Self Pay,127
2017-01-01,"Fairfax County, VA",Self Pay,313
2017-01-01,"Nassau County, NY",Other,232
2017-01-01,"New Hanover County, NC",Other,110
2017-01-01,"York County, PA",Other,81
2017-01-01,"Cameron County, TX",Unknown or Not Stated,16
2017-01-01,"Yakima County, WA",Unknown or Not Stated,311
2017-01-01,"Unidentified Counties, WI",Unknown or Not Stated,702
2017-01-01,"Whatcom County, WA",Private Insurance,1309
2017-01-01,"La Crosse County, WI",Private Insurance,818
2017-01-01,"Windham County, CT",Self Pay,32
2017-01-01,"McLean County, IL",Self Pay,23
2017-01-01,"St. Mary's County, MD",Self Pay,53
2017-01-01,"Kent County, MI",Self Pay,199
2017-01-01,"Onslow County, NC",Self Pay,37
2017-01-01,"Wood County, OH",Self Pay,23
2017-01-01,"Fayette County, GA",Other,49
2017-01-01,"Champaign County, IL",Other,12
2017-01-01,"Rock Island County, IL",Other,11
2017-01-01,"St. Clair County, IL",Other,247
2017-01-01,"Rockingham County, NH",Other,89
2017-01-01,"Dane County, WI",Other,14
2017-01-01,"Orange County, CA",Unknown or Not Stated,18
2017-01-01,"Hillsborough County, FL",Unknown or Not Stated,61
2017-01-01,"Martin County, FL",Unknown or Not Stated,15
2017-01-01,"Suffolk County, NY",Unknown or Not Stated,17
2017-01-01,"Travis County, TX",Unknown or Not Stated,35
2017-01-01,"Kitsap County, WA",Unknown or Not Stated,25
2017-01-01,"Black Hawk County, IA",Medicaid,848
2017-01-01,"Washtenaw County, MI",Medicaid,721
2017-01-01,"Jasper County, MO",Medicaid,785
2017-01-01,"Sarpy County, NE",Medicaid,502
2017-01-01,"Buncombe County, NC",Medicaid,1285
2017-01-01,"Craven County, NC",Medicaid,465
2017-01-01,"Summit County, OH",Medicaid,2636
2017-01-01,"Unidentified Counties, UT",Medicaid,2042
2017-01-01,"Berkeley County, WV",Medicaid,487
2017-01-01,"Pulaski County, AR",Private Insurance,2651
2017-01-01,"Honolulu County, HI",Private Insurance,5010
2017-01-01,"Vigo County, IN",Private Insurance,464
2017-01-01,"Sedgwick County, KS",Private Insurance,3668
2017-01-01,"Hardin County, KY",Private Insurance,671
2017-01-01,"Craven County, NC",Private Insurance,314
2017-01-01,"Davidson County, NC",Private Insurance,743
2017-01-01,"Montgomery County, TN",Private Insurance,738
2017-01-01,"Comal County, TX",Private Insurance,796
2017-01-01,"McLennan County, TX",Private Insurance,1293
2017-01-01,"Taylor County, TX",Private Insurance,975
2017-01-01,"Newport News city, VA",Private Insurance,1048
2017-01-01,"Kenosha County, WI",Private Insurance,1015
2017-01-01,"Porter County, IN",Self Pay,30
2017-01-01,"Ector County, TX",Self Pay,465
2017-01-01,"Smith County, TX",Self Pay,279
2017-01-01,"Napa County, CA",Other,16
2017-01-01,"Erie County, NY",Other,891
2017-01-01,"Northampton County, PA",Other,132
2017-01-01,"Wilson County, TN",Other,15
2017-01-01,"Unidentified Counties, MT",Unknown or Not Stated,23
2017-01-01,"Davidson County, TN",Unknown or Not Stated,1464
2017-01-01,"Denver County, CO",Medicaid,3970
2017-01-01,"Barnstable County, MA",Medicaid,519
2017-01-01,"Plymouth County, MA",Medicaid,1452
2017-01-01,"Anoka County, MN",Medicaid,1053
2017-01-01,"Clay County, MO",Medicaid,854
2017-01-01,"Queens County, NY",Medicaid,17524
2017-01-01,"Riverside County, CA",Private Insurance,12949
2017-01-01,"Tulare County, CA",Private Insurance,1938
2017-01-01,"Larimer County, CO",Private Insurance,2106
2017-01-01,"Delaware County, IN",Private Insurance,527
2017-01-01,"Porter County, IN",Private Insurance,1096
2017-01-01,"Anne Arundel County, MD",Private Insurance,4088
2017-01-01,"Carroll County, MD",Private Insurance,1164
2017-01-01,"Montgomery County, MD",Private Insurance,7564
2017-01-01,"Franklin County, MO",Private Insurance,821
2017-01-01,"Gaston County, NC",Private Insurance,1155
